,gene,decouple_UL,couple_UL,decouple_RAO,couple_RAO,decouple_DL,couple_DL,decouple_Subplate,couple_Subplate,decouple_VSVZ,couple_VSVZ,decouple_IPC,couple_IPC,decouple_DC,couple_DC
0,RP1,,,0.007482219724251525,-0.007492219724251525,,,,,,,,,,
1,LYPLA1,0.007065751139700774,-0.0070757511397007734,0.00755470031993459,-0.00756470031993459,0.010155277279686431,-0.01016527727968643,0.01002633148876042,-0.01003633148876042,0.00699516477249458,-0.00700516477249458,0.010780790981500796,-0.010790790981500795,0.00674909276781982,-0.006759092767819819
2,RGS20,0.00486440525593182,-0.004874405255931819,0.004720599688120497,-0.004730599688120497,0.007596328169338681,-0.007606328169338681,0.009461175247380216,-0.009471175247380215,0.0114458385732739,-0.0114558385732739,0.013461018073116143,-0.013471018073116143,0.0064721770960389086,-0.006482177096038908
3,ST18,0.0035887380131074537,-0.0035987380131074537,0.0002800629010805411,-0.00029006290108054113,-0.007160286385006889,0.00715028638500689,,,0.008641813283352603,-0.008651813283352603,,,0.004748743553583068,-0.004758743553583068
4,SNTG1,0.0072586030182326955,-0.007268603018232695,0.007663048932686142,-0.007673048932686142,0.006153268474657636,-0.006163268474657636,0.005928882892890716,-0.005938882892890716,0.009613391683299041,-0.00962339168329904,0.01047476933545892,-0.010484769335458919,0.005548183573175894,-0.005558183573175893
5,ADHFE1,-6.864279003895857e-05,5.864279003895857e-05,0.007153857433740571,-0.00716385743374057,0.0011645684877624601,-0.0011745684877624602,0.007750234843396431,-0.00776023484339643,0.011524538125483902,-0.011534538125483901,0.00789033684529708,-0.00790033684529708,0.004595588770569113,-0.004605588770569113
6,MYBL1,-0.002753721129504255,0.002743721129504255,0.004977195263630871,-0.00498719526363087,-0.0012372661407929614,0.0012272661407929614,,,0.0015747645519436498,-0.0015847645519436499,0.006662173169616606,-0.0066721731696166055,0.008822140187069276,-0.008832140187069275
7,1700034P13RIK,-0.000869986941917783,0.000859986941917783,0.003192026640412335,-0.003202026640412335,-0.03474731413056968,0.03473731413056968,0.0035869354453577362,-0.0035969354453577363,0.010283107578650835,-0.010293107578650835,0.01223508341524046,-0.01224508341524046,-0.020767307474138887,0.020757307474138887
8,CPA6,,,9.591456330006881e-05,-0.00010591456330006881,,,4.025508745807149e-05,-5.025508745807149e-05,,,,,,
9,PREX2,0.01071194740282462,-0.01072194740282462,0.007177152928754801,-0.007187152928754801,0.008938553461202564,-0.008948553461202564,0.015375492101022792,-0.015385492101022791,0.00651274010918311,-0.0065227401091831096,-0.0065115235508711525,0.006501523550871153,0.00035517035936619146,-0.0003651703593661915
10,A830018L16RIK,0.008866526193988214,-0.008876526193988214,-0.016902408931660215,0.016892408931660215,0.00986723953603709,-0.00987723953603709,0.009443876205549248,-0.009453876205549248,0.010049719423105258,-0.010059719423105257,0.00023879500479472016,-0.0002487950047947202,0.005418256394212881,-0.0054282563942128804
11,SULF1,0.002961972394146292,-0.0029719723941462922,-0.0005895911745719129,0.0005795911745719129,0.006797456764261883,-0.006807456764261883,-0.01132315933321787,0.01131315933321787,0.008229012103906433,-0.008239012103906432,0.0064342696357958945,-0.006444269635795894,,
12,EYA1,0.0004422693241776521,-0.0004522693241776521,0.005261908943705165,-0.005271908943705165,0.0022695014152254167,-0.0022795014152254167,0.005887851833623323,-0.005897851833623322,0.011514718489586698,-0.011524718489586697,0.012808887860143725,-0.012818887860143725,0.00884272942169137,-0.00885272942169137
13,JPH1,0.007566705872413246,-0.007576705872413245,0.008453997691143841,-0.008463997691143841,0.015903880312472488,-0.015913880312472487,0.012385162470737149,-0.012395162470737148,0.012873132528842174,-0.012883132528842173,0.008998406963930436,-0.009008406963930436,0.010684443327638182,-0.010694443327638182
14,CRISPLD1,,,0.01245364815875702,-0.012463648158757019,,,,,0.01797027081106148,-0.017980270811061478,,,,
15,GM28756,0.00928323829051629,-0.00929323829051629,-0.029776456816002835,0.029766456816002835,0.009584634831042174,-0.009594634831042174,0.009741846791298622,-0.009751846791298622,0.011089033735167161,-0.011099033735167161,-0.0011455548998802467,0.0011355548998802467,0.005836758562685104,-0.005846758562685104
16,TFAP2D,0.00255332264595326,-0.00256332264595326,0.006461869953010277,-0.0064718699530102765,0.007769714722620058,-0.007779714722620058,0.010491371433015761,-0.010501371433015761,0.009884626288441903,-0.009894626288441902,0.010696929201002368,-0.010706929201002368,,
17,MCM3,0.0069691152898481434,-0.006979115289848143,0.007537471307771312,-0.007547471307771312,0.010942058421821263,-0.010952058421821263,0.004279550851151295,-0.004289550851151295,0.0093406938845631,-0.0093506938845631,0.006725684758021794,-0.006735684758021793,-0.014994567048095368,0.014984567048095369
18,PAQR8,0.009019378167588216,-0.009029378167588215,0.0077546846019830445,-0.007764684601983044,0.0073587087378296084,-0.007368708737829608,,,0.01000560145740538,-0.01001560145740538,0.01189377250000448,-0.011903772500004479,0.009055450032290427,-0.009065450032290426
19,TRAM2,0.004758941981043735,-0.004768941981043735,0.008729334661306293,-0.008739334661306292,0.013650601842769367,-0.013660601842769366,,,0.008363322068856385,-0.008373322068856385,0.0051725372455769525,-0.005182537245576952,0.005568358832431737,-0.005578358832431737
20,KCNQ5,0.004803659665341076,-0.004813659665341075,0.005871392861694857,-0.005881392861694857,0.007276487540983215,-0.007286487540983214,0.012419635150747066,-0.012429635150747066,0.00974568697626653,-0.009755686976266529,0.007405536065347565,-0.0074155360653475645,0.0055536088150975466,-0.005563608815097546
21,GM28822,0.002464566690559833,-0.002474566690559833,0.005579797361469019,-0.005589797361469018,,,,,0.0030053163713858605,-0.0030153163713858605,-0.006471658305672326,0.006461658305672326,-0.006189752002772039,0.00617975200277204
22,COL19A1,-0.001799780245645352,0.001789780245645352,-0.03655030785779458,0.03654030785779458,0.014819746308668072,-0.014829746308668072,,,0.006632363763352883,-0.006642363763352883,,,0.008552767742983039,-0.008562767742983039
23,ADGRB3,0.0052019150306248235,-0.005211915030624823,0.004016096075128137,-0.004026096075128136,0.000655128129382454,-0.000665128129382454,0.008207292082665615,-0.008217292082665615,0.005527224246673748,-0.005537224246673748,0.012960694968458225,-0.012970694968458225,0.006759280579559518,-0.0067692805795595175
