,Unnamed: 0,decouple_UL,couple_UL,decouple_RAO,couple_RAO,decouple_DL,couple_DL,decouple_Subplate,couple_Subplate,decouple_VSVZ,couple_VSVZ,decouple_IPC,couple_IPC,decouple_DC,couple_DC,gene
RP1,0.0,,,0.007482219724251525,-0.007492219724251525,,,,,,,,,,,
LYPLA1,1.0,0.007065751139700774,-0.0070757511397007734,0.00755470031993459,-0.007564700319934591,0.010155277279686431,-0.010165277279686429,0.01002633148876042,-0.01003633148876042,0.0069951647724945795,-0.00700516477249458,0.010780790981500796,-0.010790790981500795,0.006749092767819821,-0.0067590927678198185,
RGS20,2.0,0.0048644052559318205,-0.004874405255931818,0.004720599688120497,-0.004730599688120497,0.007596328169338681,-0.007606328169338681,0.009461175247380216,-0.009471175247380215,0.0114458385732739,-0.0114558385732739,0.013461018073116143,-0.013471018073116145,0.006472177096038909,-0.006482177096038908,
ST18,3.0,0.0035887380131074532,-0.0035987380131074533,0.0002800629010805411,-0.0002900629010805412,-0.007160286385006889,0.007150286385006891,,,0.008641813283352603,-0.008651813283352603,,,0.004748743553583068,-0.004758743553583068,
SNTG1,4.0,0.007258603018232694,-0.007268603018232695,0.007663048932686142,-0.007673048932686142,0.006153268474657636,-0.006163268474657636,0.005928882892890715,-0.005938882892890716,0.009613391683299041,-0.00962339168329904,0.010474769335458921,-0.01048476933545892,0.005548183573175894,-0.0055581835731758926,
ADHFE1,5.0,-6.864279003895857e-05,5.864279003895857e-05,0.00715385743374057,-0.00716385743374057,0.00116456848776246,-0.0011745684877624602,0.007750234843396432,-0.0077602348433964295,0.011524538125483902,-0.0115345381254839,0.00789033684529708,-0.00790033684529708,0.004595588770569113,-0.004605588770569114,
MYBL1,6.0,-0.002753721129504255,0.002743721129504255,0.004977195263630871,-0.00498719526363087,-0.0012372661407929616,0.0012272661407929616,,,0.0015747645519436498,-0.00158476455194365,0.006662173169616606,-0.006672173169616606,0.008822140187069276,-0.008832140187069275,
1700034P13RIK,7.0,-0.000869986941917783,0.000859986941917783,0.0031920266404123353,-0.0032020266404123353,-0.03474731413056968,0.03473731413056968,0.003586935445357736,-0.0035969354453577367,0.010283107578650835,-0.010293107578650837,0.012235083415240459,-0.012245083415240459,-0.020767307474138887,0.020757307474138887,
CPA6,8.0,,,9.59145633000688e-05,-0.0001059145633000688,,,4.025508745807149e-05,-5.025508745807149e-05,,,,,,,
PREX2,9.0,0.01071194740282462,-0.01072194740282462,0.007177152928754801,-0.007187152928754802,0.008938553461202564,-0.008948553461202564,0.01537549210102279,-0.015385492101022791,0.00651274010918311,-0.00652274010918311,-0.006511523550871153,0.006501523550871153,0.00035517035936619146,-0.0003651703593661915,
A830018L16RIK,10.0,0.008866526193988214,-0.008876526193988214,-0.016902408931660215,0.016892408931660215,0.009867239536037091,-0.009877239536037091,0.009443876205549248,-0.009453876205549248,0.010049719423105258,-0.010059719423105256,0.00023879500479472016,-0.0002487950047947202,0.005418256394212881,-0.00542825639421288,
SULF1,11.0,0.002961972394146292,-0.0029719723941462922,-0.0005895911745719129,0.0005795911745719129,0.006797456764261882,-0.006807456764261883,-0.011323159333217871,0.01131315933321787,0.008229012103906433,-0.00823901210390643,0.006434269635795895,-0.006444269635795894,,,
EYA1,12.0,0.00044226932417765213,-0.00045226932417765216,0.005261908943705165,-0.005271908943705165,0.002269501415225417,-0.002279501415225417,0.005887851833623323,-0.005897851833623322,0.011514718489586698,-0.011524718489586696,0.012808887860143723,-0.012818887860143723,0.00884272942169137,-0.00885272942169137,
JPH1,13.0,0.007566705872413245,-0.007576705872413245,0.008453997691143841,-0.008463997691143841,0.015903880312472488,-0.015913880312472487,0.012385162470737149,-0.012395162470737148,0.012873132528842174,-0.012883132528842172,0.008998406963930436,-0.009008406963930436,0.01068444332763818,-0.010694443327638182,
CRISPLD1,14.0,,,0.012453648158757021,-0.01246364815875702,,,,,0.017970270811061482,-0.017980270811061478,,,,,
GM28756,15.0,0.00928323829051629,-0.00929323829051629,-0.029776456816002838,0.02976645681600284,0.009584634831042174,-0.009594634831042174,0.009741846791298622,-0.009751846791298622,0.01108903373516716,-0.01109903373516716,-0.0011455548998802467,0.0011355548998802467,0.005836758562685104,-0.005846758562685104,
TFAP2D,16.0,0.0025533226459532603,-0.0025633226459532603,0.006461869953010278,-0.006471869953010277,0.007769714722620058,-0.007779714722620058,0.01049137143301576,-0.01050137143301576,0.009884626288441905,-0.009894626288441902,0.010696929201002368,-0.010706929201002368,,,
MCM3,17.0,0.0069691152898481434,-0.006979115289848143,0.007537471307771312,-0.007547471307771313,0.010942058421821265,-0.010952058421821264,0.004279550851151295,-0.004289550851151295,0.0093406938845631,-0.0093506938845631,0.006725684758021794,-0.006735684758021793,-0.014994567048095368,0.014984567048095369,
PAQR8,18.0,0.009019378167588216,-0.009029378167588215,0.007754684601983044,-0.007764684601983044,0.007358708737829608,-0.007368708737829608,,,0.01000560145740538,-0.01001560145740538,0.01189377250000448,-0.01190377250000448,0.009055450032290429,-0.009065450032290426,
TRAM2,19.0,0.004758941981043735,-0.0047689419810437355,0.008729334661306294,-0.008739334661306292,0.013650601842769368,-0.013660601842769366,,,0.008363322068856384,-0.008373322068856385,0.005172537245576953,-0.005182537245576952,0.005568358832431737,-0.005578358832431737,
KCNQ5,20.0,0.004803659665341076,-0.004813659665341075,0.005871392861694857,-0.005881392861694857,0.007276487540983216,-0.007286487540983214,0.012419635150747066,-0.012429635150747066,0.00974568697626653,-0.009755686976266529,0.007405536065347566,-0.007415536065347565,0.005553608815097546,-0.005563608815097546,
GM28822,21.0,0.002464566690559833,-0.002474566690559833,0.005579797361469019,-0.0055897973614690176,,,,,0.0030053163713858605,-0.0030153163713858605,-0.006471658305672326,0.0064616583056723255,-0.006189752002772039,0.00617975200277204,
COL19A1,22.0,-0.0017997802456453519,0.0017897802456453519,-0.03655030785779458,0.03654030785779458,0.014819746308668072,-0.014829746308668072,,,0.006632363763352883,-0.006642363763352883,,,0.008552767742983039,-0.008562767742983039,
ADGRB3,23.0,0.005201915030624824,-0.005211915030624822,0.004016096075128137,-0.004026096075128136,0.000655128129382454,-0.000665128129382454,0.008207292082665615,-0.008217292082665615,0.005527224246673747,-0.005537224246673748,0.012960694968458223,-0.012970694968458223,0.006759280579559518,-0.006769280579559518,
KHDRBS2,24.0,0.0033198868766600304,-0.0033298868766600304,0.007234002448669619,-0.007244002448669619,0.002891256934775141,-0.002901256934775141,0.005269024836093318,-0.0052790248360933155,0.005006475508371258,-0.005016475508371258,0.01014087911543353,-0.010150879115433529,0.005316279585732732,-0.005326279585732733,
PRIM2,25.0,0.0049591922888446854,-0.004969192288844685,0.007635233152466572,-0.007645233152466572,0.005405407541758833,-0.005415407541758833,0.00971779422323957,-0.009727794223239569,0.008881755631457919,-0.008891755631457918,0.011518553067215123,-0.011528553067215123,0.0066357421435411365,-0.006645742143541137,
BEND6,26.0,0.005121464157297612,-0.005131464157297611,-0.0018088300405530585,0.0017988300405530587,0.0048178255046856105,-0.00482782550468561,0.008019720947409145,-0.008029720947409145,0.010261397483321513,-0.010271397483321513,0.007538807781205263,-0.007548807781205261,0.006379260934138446,-0.006389260934138445,
ARHGEF4,27.0,0.005493262074823757,-0.005503262074823757,0.006624050645891097,-0.0066340506458910965,0.014689291838348925,-0.014699291838348925,0.006664138763619862,-0.0066741387636198605,0.01234575307653468,-0.012355753076534682,0.006372707010192685,-0.006382707010192685,0.006064555716153788,-0.006074555716153788,
NPAS2,28.0,-0.003000431070602369,0.002990431070602369,-0.006378959435801162,0.006368959435801163,0.010013203245265905,-0.010023203245265904,0.012260743068168723,-0.012270743068168723,,,,,,,
GM29260,29.0,0.005030693688118607,-0.005040693688118606,0.004552933839930981,-0.0045629338399309815,0.009983339796988051,-0.009993339796988052,0.010518236629255691,-0.010528236629255687,0.005179680353203042,-0.005189680353203042,0.011207172365034282,-0.011217172365034282,0.007816015224024921,-0.007826015224024919,
GM28175,30.0,0.003976431393317062,-0.0039864313933170616,0.00522906027852793,-0.005239060278527929,0.0063579390979317954,-0.006367939097931794,0.009522352999757221,-0.00953235299975722,0.005797286364580392,-0.005807286364580392,0.010424060479431022,-0.010434060479431021,0.0077299064675380716,-0.007739906467538072,
ECRG4,31.0,0.006790387019406555,-0.006800387019406554,0.007618942693938201,-0.007628942693938202,0.009032560850159618,-0.009042560850159618,-0.009300374553230491,0.009290374553230491,0.0014795942510426455,-0.0014895942510426458,-0.044720858515643495,0.044710858515643485,,,
GULP1,32.0,,,0.006676139052516184,-0.006686139052516183,0.008274619770408498,-0.008284619770408497,,,-0.009591908478655514,0.009581908478655516,0.008195746544004498,-0.008205746544004498,,,
COL5A2,33.0,-0.0004379357997300604,0.0004279357997300603,0.0033808278547070303,-0.0033908278547070303,0.0077037970889165105,-0.007713797088916511,0.004786086044161904,-0.004796086044161905,0.010314521028494771,-0.010324521028494769,0.010371854766581534,-0.010381854766581534,0.006774827602833988,-0.006784827602833989,
DNAH7B,34.0,-0.011671948339401385,0.011661948339401384,0.003261319663025189,-0.003271319663025189,0.009705962619649221,-0.00971596261964922,0.0037536349522484798,-0.00376363495224848,0.00871855329610037,-0.00872855329610037,0.015417039743450447,-0.015427039743450447,0.005746235406476077,-0.005756235406476077,
TMEFF2,35.0,0.004831944158267472,-0.004841944158267473,0.006094232334444728,-0.006104232334444727,0.003968316340711153,-0.003978316340711153,0.002546428095544686,-0.002556428095544687,0.006277627835571203,-0.006287627835571203,0.01205682549859162,-0.012066825498591621,0.006098394411328742,-0.006108394411328742,
MYO1B,36.0,0.004831839595627385,-0.004841839595627385,0.006391779161206354,-0.006401779161206354,0.008089845511490806,-0.008099845511490806,0.010673543432068194,-0.010683543432068194,0.0058273487019869785,-0.005837348701986978,0.00989472310524317,-0.009904723105243169,0.0023370515788913165,-0.002347051578891317,
STAT1,37.0,-0.004479615395054731,0.004469615395054732,0.009047569385273235,-0.009057569385273237,0.005042712041760988,-0.005052712041760988,0.006955266037906485,-0.006965266037906486,0.006970756993982891,-0.00698075699398289,-0.018431169757080472,0.018421169757080472,-0.0011370456630187267,0.0011270456630187266,
STK17B,38.0,,,0.008011410183459659,-0.008021410183459659,,,,,,,0.007900229625075611,-0.007910229625075609,0.007248366641477336,-0.007258366641477334,
HECW2,39.0,0.00791150872650112,-0.00792150872650112,0.008559244082886884,-0.008569244082886885,0.004620883049318625,-0.004630883049318624,0.007344003215614916,-0.007354003215614915,0.0112073710856382,-0.011217371085638198,0.012027959649973231,-0.01203795964997323,0.008917471314102948,-0.008927471314102948,
RFTN2,40.0,0.0018992591488147246,-0.0019092591488147246,0.0058557722047600505,-0.005865772204760051,0.01045577713796976,-0.01046577713796976,,,0.00914058906428769,-0.00915058906428769,0.01466323314687838,-0.014673233146878382,0.007885395596311741,-0.007895395596311739,
PLCL1,41.0,0.00395492953383382,-0.00396492953383382,0.005943052213557731,-0.005953052213557731,0.007982314736927995,-0.007992314736927995,0.00825926906927847,-0.008269269069278471,0.00522770133935023,-0.005237701339350229,0.011178162324462143,-0.011188162324462144,0.0044071016919802405,-0.00441710169198024,
SATB2,42.0,4.748104644752837e-05,-5.748104644752837e-05,0.0076655918328788625,-0.007675591832878862,0.003650000368570633,-0.003660000368570633,0.010141806972032694,-0.010151806972032692,0.0053105388324306705,-0.005320538832430668,0.010632116054913364,-0.010642116054913362,0.00643237489327074,-0.006442374893270739,
9130024F11RIK,43.0,0.003979889146107488,-0.003989889146107486,0.006585295541224821,-0.00659529554122482,0.005125689229657822,-0.005135689229657823,0.010295608607776952,-0.010305608607776951,0.005471742052623949,-0.005481742052623947,0.014395772394528841,-0.014405772394528841,0.0064938542361597925,-0.006503854236159793,
SPATS2L,44.0,0.00845276892556722,-0.008462768925567219,0.008149502006415066,-0.008159502006415065,0.00872838096672883,-0.00873838096672883,0.010231562407756677,-0.010241562407756677,0.010306430292050056,-0.010316430292050056,-0.00456692760107702,0.00455692760107702,0.007588318158700716,-0.0075983181587007155,
SGO2A,45.0,-0.010937139779853151,0.010927139779853151,0.004965175357507193,-0.004975175357507192,0.010581077206907638,-0.010591077206907638,-0.028114954171138844,0.028104954171138844,0.003181530804346952,-0.003191530804346952,,,0.0048793812624530405,-0.00488938126245304,
CASP8,46.0,,,-0.0020315420326498246,0.0020215420326498246,,,,,,,0.003356479179253816,-0.003366479179253816,,,
GM973,47.0,-0.03892923624099398,0.038919236240993985,0.007022944925293359,-0.0070329449252933595,0.008337871554076476,-0.008347871554076475,0.0011009855558009457,-0.0011109855558009457,,,,,-0.0005767610847484812,0.0005667610847484812,
PARD3B,48.0,0.0018799255472183032,-0.0018899255472183032,0.006979668360413263,-0.0069896683604132636,0.006186840060471015,-0.006196840060471016,0.010828031466019931,-0.01083803146601993,0.012336997461227545,-0.012346997461227544,0.010996849567953064,-0.011006849567953062,0.006426819727976457,-0.006436819727976457,
PARD3BOS1,49.0,,,0.00998345170419776,-0.00999345170419776,-0.01064468123046311,0.010634681230463109,-0.00035726694022994443,0.0003472669402299444,-0.02841048690589522,0.02840048690589522,-0.01976968535032725,0.01975968535032725,0.013139766974701192,-0.013149766974701192,
NRP2,50.0,0.011684641541117952,-0.011694641541117951,0.004227597867645525,-0.004237597867645524,0.014687149096750075,-0.014697149096750075,0.006029500287472164,-0.006039500287472164,0.007182062462386048,-0.007192062462386049,0.009287822358826052,-0.009297822358826051,0.0034206098421246532,-0.0034306098421246533,
ADAM23,51.0,0.0076016955578384485,-0.007611695557838447,0.007260597354958821,-0.007270597354958819,0.007922827032678825,-0.007932827032678825,0.010049261671209606,-0.010059261671209605,0.007887453118808424,-0.007897453118808424,0.010992083812642106,-0.011002083812642106,0.004012859074865746,-0.004022859074865746,
UNC80,52.0,0.008284612798695344,-0.008294612798695342,0.00764356168192535,-0.007653561681925348,0.011292201784280241,-0.011302201784280241,0.009421278048514906,-0.009431278048514905,0.006502429161258663,-0.006512429161258664,-0.016434023241654768,0.016424023241654772,0.005222186220903578,-0.005232186220903577,
ACADL,53.0,0.004754506161984862,-0.004764506161984861,0.00587088303255752,-0.005880883032557519,0.011967536892232664,-0.011977536892232665,,,,,-0.005869274378044229,0.005859274378044229,-0.003672352570797136,0.003662352570797136,
ERBB4,54.0,0.011155229157204238,-0.011165229157204238,0.008413798125406408,-0.008423798125406405,0.009573754150983188,-0.009583754150983188,0.005601402522945623,-0.005611402522945622,0.010139551994266402,-0.010149551994266402,0.007508310208202752,-0.00751831020820275,0.006295375119044294,-0.006305375119044294,
IKZF2,55.0,0.006730088511238713,-0.006740088511238714,0.007053444494905428,-0.007063444494905428,0.010252342984206658,-0.010262342984206658,0.01150135194321647,-0.01151135194321647,0.008687486885258194,-0.008697486885258194,0.013629652763452238,-0.013639652763452238,0.006986468924917583,-0.006996468924917582,
SPAG16,56.0,-0.0029124547727424066,0.0029024547727424066,0.005350381729349304,-0.005360381729349304,-0.001430794665229107,0.001420794665229107,,,,,,,,,
VWC2L,57.0,-0.0007470908019948652,0.0007370908019948652,-0.0016057129206103332,0.0015957129206103332,0.012612314881394776,-0.012622314881394777,0.004774120387783742,-0.004784120387783742,,,,,-0.007055810761155273,0.007045810761155274,
