,gene,decouple_th1,decouple_Th17,decouple_Th2,decouple_Tcm,decouple_Treg
0,SUCLG2,-0.00011476546430343529,-0.0007945705790693485,-0.0012693207453390006,-0.0005328846485657592,-0.0002993714326454209
1,RSPH3,,-0.0014780364333190198,,,
2,APOO,-0.0012631102513070112,-0.0002387226248436649,-0.0015047536565444136,-0.0012619658439782001,
3,GPR137B,0.0005236882107153007,-0.0036820793158675105,-0.00023357843060269404,-0.0018845712359325684,
4,PTPRK,-0.0009475198125368147,,,-0.0003174135569148206,
5,TAFA2,-0.000613798269143765,-0.0007930938522783173,-0.0007507927145135622,-0.00135369437291434,-0.003017336032872693
6,KLHL3,,,,,
7,PCCB,-0.0010613022680314114,-0.0015776249765820536,-0.0006427393006395461,0.0008894872162448168,-0.001132099431848388
8,ZNF678,,-0.0007310220417630544,,,
9,PTPN9,,-0.0011966986014900361,,-0.002211248618267504,-0.00020396147261637562
10,MFSD1,-0.0016103100373508292,-0.00047108269460615845,,-0.0002600266725753947,
11,ZGPAT,-0.0003969969217866437,-0.0013850485383502687,,-0.0011161517620309116,
12,APLF,0.0004448623327572114,0.00025310253650516045,-0.0005536340607575933,0.00047895743329557944,
13,AK6,-0.0013211448906180583,-0.0007944812586823278,-0.0010875021324798177,-0.0009306336712398798,
14,COMMD1,-0.0030715703106205805,-0.0028389834355327676,-0.0014187120380498679,-0.0007299379651696108,-0.002423366460249359
15,LYRM4,-0.00019391001358590176,-0.0003693967635146596,-0.0009775994074183178,-0.0006819355210754162,-0.0018784990890253466
16,TTC13,-0.001004707245757448,,-0.0008997063463324958,-0.0008714721209392429,-0.0006727606678905221
17,HMGCS1,-0.0013309422440868461,-0.0006371528760701923,-0.001111572103656905,0.0006514759200668971,-0.002354197093906913
18,CLOCK,-0.002131911269065723,-0.0003197813544775774,-0.001185319498422121,-0.0011329481513930517,-0.0008246314888507751
19,CRPPA,,,,,
20,GLRX,-0.0010695633828626313,-0.0008441037487929466,-0.0016642695119245387,-2.3840500359868788e-05,-0.00041297211563104917
21,EPS8,-0.0013580901967648763,-0.001278259269896706,-0.0006187503811987656,-0.001236363189581831,-0.001777855594721777
22,JPX,-0.0011946615483775375,-0.0018537518789279173,-0.0004619957743883813,-0.002172344740953078,0.0014723718920796533
23,WDR41,,-0.00010085931320773234,,-0.0013470836787427814,
24,RNF24,-0.0016392677492191457,-0.0004416657473239674,-0.0012397088157110256,-0.0012102391255138971,-0.0028591342412935088
25,FOXP3,,,,0.0018630033109472638,-0.0012257742996271363
26,CSGALNACT1,-0.0013721877919884024,-0.00047624872848488296,-0.0016619173822234358,-0.0011642463448005768,-0.0022656658763025896
27,RIPK2,-0.0013910967993404424,-0.0015790484852164837,-0.001258010974952841,-0.0013438122472276739,7.152913744564067e-05
28,SPON1,,0.0018561291274676352,,-0.003373819088684513,
29,NBEA,,,,0.00103599445529471,
30,AMMECR1,0.0013605915864159518,-0.001908849928138199,-0.002638265837273149,-0.0012436253455504823,-0.0017141886284153234
31,MIR222HG,-0.0012618402680483563,-0.0009681473779245327,-0.00310797054378055,-0.0018307204245431828,
32,FBXL13,-0.00034161340902746223,-0.0002757726458802144,-0.0012518791170482695,-0.0002876863842953296,
33,COX17,-0.0006848503182624813,-0.0014934714821069773,-0.0004319050329815947,-0.00033997397955669913,-0.001538263051224056
34,NAA20,-0.0006503387410181898,-0.0014732098471578053,-0.0001329614250750212,-0.001295791454586321,-0.00034923625265293606
35,TMEM185A,,,,-0.0007064727768123676,
36,HMGCL,,-0.0011937354240399347,,,
37,WDTC1,-0.0009553228065231649,-0.0010298719130492368,-0.0004654958410094433,-0.0006972414833619168,-0.0008362738685641089
38,GALC,-0.0011101853365156952,-0.0011650182602484177,-0.0013000612415375035,-0.0015411207242832688,-0.0005089719278363915
39,INSIG2,-8.925246849398813e-05,-0.00027873210880368163,,,
40,INTS12,,,-0.000562994722180396,-0.0011045087406059417,
41,PHF14,-0.0011753305562841893,-0.0011757177067838456,6.538493719804826e-05,-0.001101851994952329,-0.003145616478525192
42,TNIK,-6.704431959281623e-05,-0.00045825652679937125,-0.000957620318303932,-0.00015143777605577773,-0.0012947087700560722
43,ITGA1,,,,,
44,VWDE,-0.0003873874992526404,-0.004117452049734696,-0.0023321794073712238,-0.0003849554606030637,
45,MSANTD2,-0.0013845868877846949,-0.0012747013813400971,-0.0008031101001120707,-0.0009579181470532102,-0.0037737379676488006
46,NT5DC3,-0.0004912825230236513,-0.0005492900845933488,-0.001136092853043712,,
47,LPP,-0.0016523170392460798,-0.00037355787013422515,-0.0013771449152041697,-0.0013543842509935828,-0.0033510361152252425
48,PCNX4,-0.0015631821961324286,-0.0006660640623203356,-0.0015314676918980466,-0.0001392282403038488,-0.0025369948711776325
49,CEP78,-0.0024862428143806927,-0.0013787875343938376,0.0011170402797185067,-0.0009673360115684069,-0.003906337195257969
50,BARD1,-0.00020750006657698286,0.00019480785950297917,-0.0023375376364156725,-0.0017231416936041447,-0.00230966133363421
51,NFIA,-0.0012495741797865344,-0.0005624390904759805,-0.0008276441147189737,-0.0006467680981046397,0.0003264195333204118
52,CDK8,-0.0006350406092201222,-0.0013853617034827424,-0.0009983772446821443,-0.0009656830295408422,-0.000842548805274082
53,ZFYVE28,-4.0333356428539496e-05,0.00023635300724013202,-0.0005743593747448792,-2.1914709195784178e-05,-0.002456223149476245
54,CLPX,-0.0003941296849515642,-0.0007837062999040871,-0.0010600348123692193,-0.0007655283730451292,-0.0011425836489792462
55,CNNM4,-0.0005755983823355123,-0.002030745103462262,,,-0.0009385877619941339
56,FRAT1,-0.0005760296321645087,-2.1467060401994878e-05,,-0.0005788476214046018,
57,MTHFD2,-0.001049009742547246,0.0003653261248480477,-0.0011959474808436307,-0.0007032883044476102,0.0003260362046102871
58,DNAJC18,-0.001039414037930302,-0.0017940044790011652,-0.0004244344719396675,0.000408251150834346,-0.0010932695710400495
59,FNDC3A,-0.0016794636945555476,-0.0003720647003231884,-0.003913228836404211,-0.0006054557424896301,-0.001807621272113983
60,CRYZL1,-0.0006402825065008905,-0.0010329597051415944,-0.0012008184757138166,5.1098393501943125e-05,-0.0008218511598622382
